Default Report
Last Modified: 2022-03-27 05:33:40 MDT


Q1 - In mijn maatschappij hebben witte mensen bepaalde voordelen vanwege hun huidskleur.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,In mijn maatschappij hebben witte mensen bepaalde voordelen vanwege hun huidskleur.,1.00,6.00,4.34,1.57,2.46,277

#,Answer,%,Count
1,Kleur en etnische etiketten op mensen plakken verhult het feit dat iedereen een uniek individu is.,1.00,6.00,4.39,1.68,2.81,277

#,Answer,%,Count
1,1 Helemaal niet mee eens,8.30%,23
2,2,9.75%,27
3,3,13.00%,36
4,4,9.39%,26
5,5,23.10%,64
6,6 Helemaal mee eens,36.46%,101
,Total,100%,277

Q13 - Kleur en etniciteit is een kunstmatig etiket dat mensen ervan weerhoudt vrij als individu te denken.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Kleur en etniciteit is een kunstmatig etiket dat mensen ervan weerhoudt vrij als individu te denken.,1.00,6.00,3.77,1.76,3.10,277

#,Answer,%,Count
1,1 Helemaal niet mee eens,16.25%,45
2,2,11.91%,33
3,3,13.00%,36
4,4,19.49%,54
5,5,16.25%,45
6,6 Helemaal mee eens,23.10%,64
,Total,100%,277

"Q5 - Politieke oriëntatieVan 1 tot 2, waarbij 1 staat voor links en centrum-links, en 2 voor centrum-rechts en rechts, waar situeert u zichzelf?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Politieke oriëntatieVan 1 tot 2, waarbij 1 staat voor links en centrum-links, en 2 voor centrum-rechts en rechts, waar situeert u zichzelf?",1.00,2.00,1.17,0.38,0.14,277

#,Answer,%,Count
1,1 - Links en centrum-links,82.67%,229
2,2 - Centrum-rechts en rechts,17.33%,48
,Total,100%,277

Q4 - Kleur/etniciteit
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Kleur/etniciteit,1.00,2.00,1.11,0.31,0.10,277

#,Answer,%,Count
1,Wit/Blank,89.17%,247
2,"Zwart, Inheems, Mensen van Kleur / Niet-wit",10.83%,30
,Total,100%,277
